strain,lineage
strain_001,Lineage D
strain_002,Lineage B
strain_003,Lineage C
strain_004,Lineage B
strain_005,Lineage B
strain_006,Lineage B
strain_007,Lineage A
strain_008,Lineage C
strain_009,Lineage A
strain_010,Lineage A
strain_011,Lineage A
strain_012,Lineage B
strain_013,Lineage C
strain_014,Lineage B
strain_015,Lineage D
strain_016,Lineage A
strain_017,Lineage C
strain_018,Lineage C
strain_019,Lineage A
strain_020,Lineage B
strain_021,Lineage B
strain_022,Lineage D
strain_023,Lineage A
strain_024,Lineage B
strain_025,Lineage C
strain_026,Lineage A
strain_027,Lineage B
strain_028,Lineage D
strain_029,Lineage A
strain_030,Lineage C
strain_031,Lineage A
strain_032,Lineage B
strain_033,Lineage D
strain_034,Lineage B
strain_035,Lineage D
strain_036,Lineage A
strain_037,Lineage C
strain_038,Lineage C
strain_039,Lineage B
strain_040,Lineage A
strain_041,Lineage B
strain_042,Lineage B
strain_043,Lineage A
strain_044,Lineage D
strain_045,Lineage A
strain_046,Lineage A
strain_047,Lineage C
strain_048,Lineage A
strain_049,Lineage C
strain_050,Lineage A
strain_051,Lineage A
strain_052,Lineage A
strain_053,Lineage A
strain_054,Lineage B
strain_055,Lineage A
strain_056,Lineage C
strain_057,Lineage A
strain_058,Lineage C
strain_059,Lineage B
strain_060,Lineage D
strain_061,Lineage B
strain_062,Lineage D
strain_063,Lineage B
strain_064,Lineage B
strain_065,Lineage B
strain_066,Lineage C
strain_067,Lineage B
strain_068,Lineage C
strain_069,Lineage C
strain_070,Lineage D
strain_071,Lineage C
strain_072,Lineage B
strain_073,Lineage B
strain_074,Lineage B
strain_075,Lineage D
strain_076,Lineage B
strain_077,Lineage C
strain_078,Lineage B
strain_079,Lineage D
strain_080,Lineage B
strain_081,Lineage C
strain_082,Lineage D
strain_083,Lineage B
strain_084,Lineage B
strain_085,Lineage A
strain_086,Lineage B
strain_087,Lineage A
strain_088,Lineage A
strain_089,Lineage A
strain_090,Lineage D
strain_091,Lineage D
strain_092,Lineage C
strain_093,Lineage D
strain_094,Lineage D
strain_095,Lineage A
strain_096,Lineage C
strain_097,Lineage C
strain_098,Lineage A
strain_099,Lineage D
strain_100,Lineage B
