category,n_candidate,n_background,fold_enrichment,p_value
Membrane permeability,25,26,1.0339123242349049,8.812101384026987e-08
Metabolism,21,22,1.0263929618768328,1.7679787796494566e-06
Efflux pump,20,21,1.0240655401945724,3.6994649827066857e-06
Cell wall synthesis,20,21,1.0240655401945724,3.6994649827066857e-06
DNA repair,18,19,1.0186757215619695,1.596220735307793e-05
Enzyme degradation,16,17,1.0120177103099304,6.745085269359459e-05
Regulatory,16,17,1.0120177103099304,6.745085269359459e-05
Stress response,18,20,0.9677419354838709,0.00010263262729374832
Biofilm formation,20,23,0.9350163627863487,0.0001267091601187554
Target modification,12,14,0.9216589861751151,0.005041816601540303
