,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
ID1,40.07205123829672,-35.2078974662799,-10.863134319917643,-4.834495430996642,1.3518653140278334,-1.8057638556780105,-1.147086761959381,-1.1900562117310896,0.4481625659631529,-1.7638033493632366
ID2,40.203877546734745,-35.20124668831738,-10.628280418943357,-4.435903636431466,1.285511877553811,-1.9939739642199146,-1.2877339611300291,-1.1571102833457885,0.5318378486177912,-1.6137998539124303
ID3,42.67202889670201,-41.58366255625431,-12.696433255862718,-4.452563629599178,2.561563120947439,-5.2639794565076015,0.2287005543453176,0.11985129945883427,-0.15431980816034047,0.327325937596234
ID4,42.877041319618165,-42.21552955533805,-11.913570953472334,-5.013381208434306,2.7173296624216925,-5.4603894934017605,0.7123423377186663,-0.304372324099586,0.2764483990502345,0.588841535811981
ID5,43.01081550322443,-42.62156179206598,-11.986855659231535,-4.766250901437439,2.5500039138246597,-5.6271863447331,0.7068478461324755,-0.22282802239949803,0.25715383410979814,0.5090144549351728
ID6,42.788756525587225,-42.491161490725254,-12.137449804502426,-4.814843502526548,2.5345415439433583,-5.45726059215632,1.0098993481563985,-0.3157248051035227,0.13594933603820172,0.8948085380238361
ID7,43.41523725363319,-42.55447820458407,-13.084926973565437,-4.567886999711232,2.466801155200987,-5.726234850568969,0.5662033443688562,0.11628384749718479,-0.00046057665323419615,0.21992417103466977
ID8,43.41523725363319,-42.55447820458407,-13.084926973565437,-4.567886999711232,2.466801155200987,-5.726234850568969,0.5662033443688487,0.1162838474971772,-0.00046057665323146835,0.21992417103466633
ID9,43.38257132615622,-42.546605215036145,-13.11307070082252,-4.50262929365225,2.5157954749503135,-5.760657106343468,0.613805547985972,0.13222209812483274,-0.009072466935266699,0.22799478800361714
ID10,43.41523725363319,-42.55447820458407,-13.084926973565437,-4.567886999711232,2.466801155200987,-5.726234850568969,0.5662033443688487,0.11628384749718111,-0.00046057665323857557,0.21992417103467185
ID11,43.41523725363319,-42.55447820458407,-13.084926973565437,-4.567886999711232,2.466801155200987,-5.726234850568969,0.5662033443688487,0.11628384749717907,-0.0004605766532313868,0.21992417103466544
ID12,43.41523725363319,-42.55447820458407,-13.084926973565437,-4.567886999711232,2.466801155200987,-5.726234850568969,0.5662033443688487,0.11628384749717846,-0.00046057665322936874,0.21992417103466394
ID13,43.360639944099354,-42.503007142222756,-13.090682804117863,-4.665918117743339,2.4277441465351335,-5.778177250124395,0.5571881213832734,0.1121618055581941,0.009184861130769741,0.21317135247417385
