locus_tag,gene,product,start,end,strand
SPN23F_RS00005,dnaA,chromosomal replication initiator protein DnaA,186,1547,+
SPN23F_RS00010,dnaN,DNA polymerase III subunit beta,1706,2842,+
SPN23F_RS00015,,DUF951 domain-containing protein,2907,3101,+
SPN23F_RS00020,ychF,redox-regulated ATPase YchF,3185,4300,+
SPN23F_RS00025,pth,aminoacyl-tRNA hydrolase,4372,4941,+
SPN23F_RS00030,mfd,transcription-repair coupling factor,4942,8451,+
SPN23F_RS00035,,RNA-binding S4 domain-containing protein,8509,8775,+
SPN23F_RS00040,,septum formation initiator family protein,8768,9136,+
SPN23F_RS14045,,SP 0009 family protein,9141,9263,+
SPN23F_RS00050,,serine hydrolase,9256,10524,+
SPN23F_RS00055,tilS,tRNA lysidine(34) synthetase TilS,10521,11798,+
SPN23F_RS00060,hpt,hypoxanthine phosphoribosyltransferase,11802,12344,+
SPN23F_RS00065,ftsH,ATP-dependent zinc metalloprotease FtsH,12360,14318,+
SPN23F_RS00070,,ISL3 family transposase,14384,15640,-
SPN23F_RS00075,,sigma-70 RNA polymerase sigma factor region 4 domain-containing protein,15863,16342,+
SPN23F_RS11705,,IS630 family transposase,21834,22680,+
SPN23F_RS11710,,transposase,22715,23512,-
SPN23F_RS00140,comW,sigma(X)-activator ComW,23778,24014,+
SPN23F_RS00145,,adenylosuccinate synthase,24245,25531,+
SPN23F_RS00150,tadA,tRNA adenosine(34) deaminase TadA,25732,26199,+
SPN23F_RS14285,,tyrosine-type recombinase/integrase,26408,27549,-
SPN23F_RS00165,,type I restriction endonuclease,27604,28674,-
SPN23F_RS00170,,ImmA/IrrE family metallo-endopeptidase,28691,29071,-
SPN23F_RS00175,,type II toxin-antitoxin system RelE family toxin,29084,29347,-
SPN23F_RS00180,,hypothetical protein,29347,29580,-
SPN23F_RS00185,,helix-turn-helix domain-containing protein,29580,29948,-
SPN23F_RS00190,,DNA-binding protein,30520,30711,+
SPN23F_RS00195,,hypothetical protein,30734,30937,+
SPN23F_RS11720,,YjzC family protein,31092,31259,-
SPN23F_RS00200,,autolysin,31264,31644,+
SPN23F_RS00205,,hypothetical protein,31864,32043,-
SPN23F_RS13455,,hypothetical protein,32185,32334,-
SPN23F_RS00210,,dUTP diphosphatase,32639,33082,+
SPN23F_RS00215,,histidine phosphatase family protein,33084,33599,+
SPN23F_RS00220,radA,DNA repair protein RadA,33613,34974,+
